mix,start_seconds,end_seconds,mono_corr,stereo_width_diff_db,crest_diff_db,imbalance,simple_score
PXL-S4,18.0,24.0,-0.005415636032522343,1.6669029024080704,2.9881716193096572,-0.00970183880033859,1.8525084661655287
McG-A,58.0,64.0,-0.0518757484227635,1.9175643939942404,-1.6242063560212578,-0.010246104624102297,1.866164647245836
QUT-I,38.0,44.0,-0.002703047607062563,1.5542931862555829,-3.5163067356031767,0.0018898957477380145,1.869998698682393
PXL-S4,10.0,16.0,0.005338077948156044,2.0776608396947047,2.0556870610270153,-0.005927783503438885,1.8965073231050926
PXL-S7,50.0,56.0,-0.0012042639585352563,1.8246733998435687,2.8286584302596296,-0.004946045228759893,1.8990439923777993
McG-A,26.0,32.0,-0.10524686677346438,-1.684084166190317,-2.033521120661085,0.017877251550643992,1.91756398474125
McG-C,34.0,40.0,-0.015827981963349447,2.204083358854451,-1.5712724973842995,0.007652850349305327,1.9293885179615693
PXL-S7,46.0,52.0,0.017281542623344196,2.0259471751517513,2.666299602647541,-0.016784480660680758,1.9383554427263183
McG-C,10.0,16.0,-0.06952498313233245,2.0390481052038414,-1.489262773813845,-0.006577756307712447,1.9419634349386625
PXL-S2,46.0,52.0,0.004531230129684663,2.027164913181153,-2.5620331277929758,-0.028003689780567668,1.9488249655001537
PXL-S3,58.0,64.0,0.0027955852909526827,2.106814145946041,2.2846767207433984,0.017606229076357886,1.9505174105026248
DU-N,14.0,20.0,0.6638723717430153,-3.1919745285932866,-2.4169911291679114,-0.005704715670418802,1.95853593367183
UCP-A4,54.0,60.0,0.25156945373837286,2.9500726432667292,-2.881736883428445,-0.010663335939428281,1.9641579466708858
UCP-A4,26.0,32.0,0.1472771585766799,2.5208995868253528,-2.9835219971712554,-0.00938308635307543,1.973423775835005
PXL-S1,54.0,60.0,-0.008249648662714274,2.033015315170827,2.606353930623513,0.026644843915604326,1.983960044504369
McG-G,26.0,32.0,-0.10484469768677772,1.5362117734725658,3.181072315667137,0.002809891175436602,2.014956129459909
QUT-A,38.0,44.0,-0.00319645095993665,1.0064542689976719,-6.484364461179734,-0.05630623463981758,2.0422747055956694
PXL-S7,38.0,44.0,-0.00423787781632241,2.03710556913844,3.0383525857775595,-0.0038611954139603773,2.0427814280684986
